Status per object type;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Revision date:;yyyy-mm-dd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Obs! Leading - should not exist in protocol level;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;return value;;;;return value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ObjectType;Object (optional);statusCodeId;Description;Name;Type;Value;Comment;Name;Type;Value;Comment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic Light Controller;;S0001;"Signal group status.
Provides the status of each signal group, including basic information such as green, yellow and red. But also detailed technical information.
Can be used to draw a live signal group diagram as well provide diagnostic information about the performance of the controller.";signalgroupstatus;string;[string];"Signal group status as text field.
Each character represent the state of the signal group in consecutive order.
Signal group status is described in detail in the corresponding section.
- = Signal group is undefined/does not exist";cyclecounter;integer;[0-999];"Cycle counter.
Used for handling of coordination between TLC’s.
Is counted from 0 until it reaches the cycle time (See S0028).

c = (b + o) mod t

where c = cycle counter,
b = base cycle counter,
o = offset,
t = cycle time,
mod = modulo

See the coordination section for more information.";basecyclecounter;integer;[0-999];"Base cycle counter.
Used for handling of coordination between TLC’s.
Synchronized between all TLC’s in an active coordination.
See the coordination section for more information.";stage;integer;[0-999];Current stage (isolated);;;;;;;;;;;;;;;;;;;;;;;;
Traffic Light Controller;;S0002;"Detector logic status.
Provides the status of all detector logics of the controller.
Can be used to draw a live signal group diagram as well provide diagnostic information about the performance of the controller. Can also be used for bus priority, external control systems, and much more.";detectorlogicstatus;string;[string];"Detector logic status as text field
Each character represent the state of the detector logic in consecutive order.
0 : Detector logic is not active
1 : Detector logic is active
- : Detector logic is undefined/does not exist";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic Light Controller;;S0003;"Input status.
Input (1-255) of the controllers general purpose I/O.
Input is used where the traffic light controller must react to external control. It could be external detectors, bus priority, and much more.";inputstatus;string;[string];"Input status as text field
Each character represent the state of the input in consecutive order.
0 : Input is not active
1 : Input is active
- : Input is undefined/does not exist";extendedinputstatus;string;[string];"(Deprecated) Extended input status as text field
Each character represent the state of the extended input status in consecutive order.
0 : Input is not active
1 : Input is active
- : Input is undefined/does not exist";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic Light Controller;;S0004;"Output status.
Output (1-255) of the controllers general purpose I/O.
Can be used for all types of output where the traffic light controller needs to control other equipment. Can be used for bus priority, coordination between traffic controllers, external control systems, and much more.";outputstatus;string;[string];"Output status as text field
Each character represent the state of the output status in consecutive order.
0 : Output is not active
1 : Output is active
- : Output is undefined/does not exist";extendedoutputstatus;string;[string];"(Deprecated) Extended output status as text field
Each character represent the state of the extended output status in consecutive order.
0 : Output is not active
1 : Output is active
- : Output is undefined/does not exist";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic Light Controller;;S0005;"Traffic Light Controller starting.
The traffic signal is starting, e.g. it is in startup mode and has not begun working normally yet.
During startup mode the traffic controller shows dark, red, yellow flash or using the predetermined start cycle (minimum times).";status;boolean;"-False
-True";"False: Controller is not in start up mode
True: Controller is currently in start up mode";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic Light Controller;;S0006;"Emergency stage.
The status is active during emergency prioritization.
Used in situations where full priority is given in the emergency vehicle program.";status;boolean;"-False
-True";"False: Emergency stage inactive
True: Emergency stage active";emergencystage;integer;[1-255];Number of emergency stage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic Light Controller;;S0007;"Controller switched on.
The controller is active and is not in dark mode.
Used to determine if the controller is operating, e.g. it shows red, green or yellow to the vehicles.
During maintenance work the controller might be using dark mode (no output to the signal heads).
Please note that all values in this status uses comma-separated lists - one value for each intersection, e.g. ""0"" and ""True"" (one intersection) or ""1,2"" and ""True,False"" (two intersections).";intersection;integer;[0-255];"Comma separated list of intersections which the status relates to, e.g. “1,2”.
Use “0” for all intersections of the TLC.";status;boolean;"-False
-True";"False: Traffic Light Controller in dark mode
True: Traffic Light Controller not in dark mode";source;string;"-operator_panel
-calendar_clock
-control_block
-forced
-startup
-other";"Source of the status change
operator_panel: Operator panel
calendar_clock: Calendar/clock
control_block: Control block
forced: Forced due to external command e.g. supervisor
startup: Set after startup mode
other: Other reason";;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic Light Controller;;S0008;"Manual control.
Traffic control deactivated in controller.
Signal timings is controlled manually by service personnel using the operating panel of the controller.
Please note that all values in this status uses comma-separated lists - one value for each intersection, e.g. ""0"" and ""True"" (one intersection) or ""1,2"" and ""True,False"" (two intersections).";intersection;integer;[0-255];"Comma separated list of intersections which the status relates to, e.g. “1,2”.
Use “0” for all intersections of the TLC.";status;boolean;"-False
-True";"False: Manual control inactive
True: Manual control active";source;string;"-operator_panel
-calendar_clock
-control_block
-forced
-startup
-other";"Source of the status change
operator_panel: Operator panel
calendar_clock: Calendar/clock
control_block: Control block
forced: Forced due to external command e.g. supervisor
startup: Set after startup mode
other: Other reason";;;;;;;;;;;;;;;;;;;;;;;;;;;;
